merchant_pid,ean,brand,title,description,url,image_url,price_gbp,in_stock,captured_on
VSER-O3SS-0600-0060,5055950616608,Bulk,Vegan Super Strength Omega 3 Softgels - 60 Capsules,"Directions: Take 1 softgel, twice per day with food. || Ingredients: Algal Oil (DHA and EPA-rich oil from the microalgae Schizochytrium sp., Antioxidants (Tocopherol-rich Extract, Extracts of Rosemary)), Softgel Shell (Humectant (Glycerol), Modified Pea Starch, Gelling Agent (Carrageenan)). | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving (2 Softgels)] | [Algal Oil ; 1200 mg (providing DHA 384 mg, EPA 128 mg)]",https://www.bulk.com/uk/products/vegan-super-strength-omega-3-softgels/vser-o3ss,https://www.bulk.com/media/catalog/product/V/S/VSER_O3SS_0600_Main_Image_c904.jpg,14.99,1,2026-09-17
BPB-CMON-0000-0100,5060343740853,Bulk,Creatine Monohydrate Powder - Unflavoured 100g,"Directions: How do I use it? | Mix 2 scoops (approximately 5g) with 200ml water in a shaker. | Have 1-2 servings daily || Ingredients: Creatine Monohydrate. | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving] | [Creatine Monohydrate ; 5 g] | [of which Creatine ; 4.4 g]",https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000,https://www.bulk.com/media/catalog/product/M/a/Main_Image_Unflavoured_Creatine__2__a00e.jpg,4.99,1,2026-09-17
BPB-CMON-0000-0250,5055950627833,Bulk,Creatine Monohydrate Powder - Unflavoured 250g,"Directions: How do I use it? | Mix 2 scoops (approximately 5g) with 200ml water in a shaker. | Have 1-2 servings daily || Ingredients: Creatine Monohydrate. | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving] | [Creatine Monohydrate ; 5 g] | [of which Creatine ; 4.4 g]",https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000,https://www.bulk.com/media/catalog/product/M/a/Main_Image_Unflavoured_Creatine__2__a00e.jpg,8.99,1,2026-09-17
BPB-CMON-0000-0500,5060343740860,Bulk,Creatine Monohydrate Powder - Unflavoured 500g,"Directions: How do I use it? | Mix 2 scoops (approximately 5g) with 200ml water in a shaker. | Have 1-2 servings daily || Ingredients: Creatine Monohydrate. | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving] | [Creatine Monohydrate ; 5 g] | [of which Creatine ; 4.4 g]",https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000,https://www.bulk.com/media/catalog/product/M/a/Main_Image_Unflavoured_Creatine__2__a00e.jpg,10.99,1,2026-09-17
BPB-CMON-0000-1000,5060343740877,Bulk,Creatine Monohydrate Powder - Unflavoured 1kg,"Directions: How do I use it? | Mix 2 scoops (approximately 5g) with 200ml water in a shaker. | Have 1-2 servings daily || Ingredients: Creatine Monohydrate. | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving] | [Creatine Monohydrate ; 5 g] | [of which Creatine ; 4.4 g]",https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000,https://www.bulk.com/media/catalog/product/M/a/Main_Image_Unflavoured_Creatine__2__a00e.jpg,19.99,1,2026-09-17
BPB-CMON-1000-0090,5055950602137,Bulk,Creatine Monohydrate Tablets - 90 Tablets,"Directions: Take 5 tablets per day. On training days consume approximately 30 minutes after exercise. || Ingredients: Creatine Monohydrate, Bulking Agent (Microcrystalline Cellulose), Glazing Agents (Hydroxypropyl Methyl Cellulose, Glycerine), Anti-Caking Agents (Magnesium Stearate, Silicon Dioxide). | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving (5 Tablets)] | [Creatine Monohydrate ; 5 g] | [of which Creatine ; 4.4 g]",https://www.bulk.com/uk/products/creatine-monohydrate-tablets-1000mg/bpb-cmon-tabs,https://www.bulk.com/media/catalog/product/C/R/CREATINE_MONOHYDRATE_TABS_UK_1_e9d4.jpeg,6.99,1,2026-09-17
BPB-CMON-1000-0270,5055950602144,Bulk,Creatine Monohydrate Tablets - 270 Tablets,"Directions: Take 5 tablets per day. On training days consume approximately 30 minutes after exercise. || Ingredients: Creatine Monohydrate, Bulking Agent (Microcrystalline Cellulose), Glazing Agents (Hydroxypropyl Methyl Cellulose, Glycerine), Anti-Caking Agents (Magnesium Stearate, Silicon Dioxide). | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving (5 Tablets)] | [Creatine Monohydrate ; 5 g] | [of which Creatine ; 4.4 g]",https://www.bulk.com/uk/products/creatine-monohydrate-tablets-1000mg/bpb-cmon-tabs,https://www.bulk.com/media/catalog/product/C/R/CREATINE_MONOHYDRATE_TABS_UK_1_e9d4.jpeg,19.99,1,2026-09-17
BPB-CMON-1000-0540,5055950606081,Bulk,Creatine Monohydrate Tablets - 540 Tablets,"Directions: Take 5 tablets per day. On training days consume approximately 30 minutes after exercise. || Ingredients: Creatine Monohydrate, Bulking Agent (Microcrystalline Cellulose), Glazing Agents (Hydroxypropyl Methyl Cellulose, Glycerine), Anti-Caking Agents (Magnesium Stearate, Silicon Dioxide). | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving (5 Tablets)] | [Creatine Monohydrate ; 5 g] | [of which Creatine ; 4.4 g]",https://www.bulk.com/uk/products/creatine-monohydrate-tablets-1000mg/bpb-cmon-tabs,https://www.bulk.com/media/catalog/product/C/R/CREATINE_MONOHYDRATE_TABS_UK_1_e9d4.jpeg,34.99,1,2026-09-17
BPB-GUMY-ASAP-0060,5055950625914,Bulk,Ashwagandha Gummies - Apple 60 Gummies,"Directions: How do I use it? | Simply take two gummies per day and you’re all set. || Ingredients: Apple Flavour | Glucose Syrup, Sucrose, Water, Ashwagandha Extract 10:1 (Withania somnifera), Acidity Regulators (Citric Acid, Sodium Citrate), Apple Juice Concentrate, Gelling Agent (Pectin), Natural Flavouring, Black Carrot Juice Concentrate, Vegetable Oil, Glazing Agent (Carnauba Wax), Vitamin B6 (Pyridoxine Hydrochloride). | Suitable For | Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving (2 gummies) ; Reference Intake of an average adult (%)] | [Ashwagandha Extract 10:1 ; 300 mg (3000 mg Ashwagandha equivalent)] | [Vitamin B6 ; 2.8 mg ; 200]",https://www.bulk.com/uk/products/ashwagandha-gummies/bpb-gumy-as,https://www.bulk.com/media/catalog/product/A/S/ASHWAGANDHA_GUMMIES_MAIN_IMAGE_2000X2000_JPEG_bba6.jpg,16.99,1,2026-09-17
BPB-GUMY-ASAP-0120,5055950626645,Bulk,Ashwagandha Gummies - Apple 120 Gummies,"Directions: How do I use it? | Simply take two gummies per day and you’re all set. || Ingredients: Apple Flavour | Glucose Syrup, Sucrose, Water, Ashwagandha Extract 10:1 (Withania somnifera), Acidity Regulators (Citric Acid, Sodium Citrate), Apple Juice Concentrate, Gelling Agent (Pectin), Natural Flavouring, Black Carrot Juice Concentrate, Vegetable Oil, Glazing Agent (Carnauba Wax), Vitamin B6 (Pyridoxine Hydrochloride). | Suitable For | Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving (2 gummies) ; Reference Intake of an average adult (%)] | [Ashwagandha Extract 10:1 ; 300 mg (3000 mg Ashwagandha equivalent)] | [Vitamin B6 ; 2.8 mg ; 200]",https://www.bulk.com/uk/products/ashwagandha-gummies/bpb-gumy-as,https://www.bulk.com/media/catalog/product/A/S/ASHWAGANDHA_GUMMIES_MAIN_IMAGE_2000X2000_JPEG_bba6.jpg,29.99,1,2026-09-17
